what,kind,bundleId,bundleVersion,description,time
activated,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1403862791225
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1403862809534
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403862813219
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403862820775
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403862832036
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403862835664
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403872420955
activated,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1403872425927
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403872504208
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403872504545
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1403872540328
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403872542623
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403872586612
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403872595061
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1403872620079
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403872630553
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403872633315
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403872655990
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1403872674385
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403872676600
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403872678128
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403872679838
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403872692088
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1403872772811
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403872774652
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403872783181
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403872785517
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403872812064
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403872850777
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1403872858367
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1403872863949
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1403872864949
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1403872868184
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403872870721
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403872873996
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403872909430
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403872918612
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403872920327
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403872939563
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403872951308
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403872969446
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1403872971503
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1403872972044
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1403872972638
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1403872974706
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1403872975279
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1403872975769
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1403872976189
