what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1410774966342
opened,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1410774972623
activated,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1410774972754
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1410774979144
opened,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1410774982436
activated,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1410774982495
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410775072555
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410775486402
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410775489584
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410775570305
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410775580823
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410775625629
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1410775625666
activated,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1410775647250
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410775658327
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410775660108
started,bundle,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui",1410775660423
opened,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1410775660448
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1410775660624
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410775664950
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1410775664989
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1410775675611
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410775685858
started,bundle,org.eclipse.mylyn.java.tasks,3.9.2.v20140211-0100,"org.eclipse.mylyn.java.tasks",1410775691153
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1410775696422
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1410775696560
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1410775718977
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410775721255
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410775732908
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1410775732949
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410775735455
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410775850087
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1410775850135
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410775953520
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410775981274
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1410775983872
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410776013944
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410776017308
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1410776048833
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1410776076460
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1410776094805
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1410776095063
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1410776095157
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410776129117
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410782568739
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410782570553
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410782578527
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1410782578699
activated,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1410782620108
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1410782640415
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1410782662547
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410782676609
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410782682533
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410782682562
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410782684843
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1410782685112
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.ExpressionView",1410782685270
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1410782685334
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1410782686157
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.BreakpointView",1410782686228
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1410782692185
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1410782697552
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1410782702522
started,bundle,org.jboss.tools.cdi.ui,1.1.1.v20111025-1225-H178-Final,"org.jboss.tools.cdi.ui",1410782703490
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.ExpressionView",1410782706671
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1410782737449
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410782739760
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410782743280
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.406.v201110060300,"org.eclipse.jst.j2ee.J2EEPerspective",1410782743482
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1410782743501
activated,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1410782746059
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410782782993
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410782794056
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410782794081
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1410782794296
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1410782803340
