what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403625105515
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403625132782
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403625145904
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403625149679
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403625159167
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1403625159212
executed,command,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.debug",1403625160793
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403625162953
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403625199240
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403625230963
activated,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1403625231116
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.ClassFileEditor",1403625231124
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403625232021
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1403625234120
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403625235400
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403625241113
activated,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1403625248587
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1403625256961
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403625265139
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403625268079
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403625270452
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403625286331
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1403625359792
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403625374406
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403625379164
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403625414226
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403625418966
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403625425594
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403625456634
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403625456845
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1403625461598
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403625463270
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403625521807
activated,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1403625522000
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403625554439
activated,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1403625556652
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1403625588975
activated,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1403625591394
activated,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1403625597356
activated,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1403625604557
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403625624624
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403625627070
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1403625643014
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1403625644627
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403625647477
executed,command,org.eclipse.wst.sse.ui,1.2.5.v201108191505,"org.eclipse.wst.sse.ui.format.document",1403625650512
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403625652039
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403625655657
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403625681014
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403625739523
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403625755085
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403625820308
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1403625820332
opened,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1403625858521
activated,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1403625858644
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403625879470
closed,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1403625879470
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1403625881682
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403625913783
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1403625933252
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403625936263
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403625944284
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403625944313
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1403625945434
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403625949303
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403625962626
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403625962631
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403626015704
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1403626019845
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403626025070
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1403626027445
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403626047824
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1403626052687
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403626054882
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403626056502
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403626068928
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403626073851
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403626187443
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403626206612
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403626227459
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403626227488
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403626241983
activated,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1403626244524
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1403626250354
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1403626252869
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403626253899
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1403626253918
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403626255110
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403626261672
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403626268281
activated,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1403626299066
activated,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1403626305165
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1403626358353
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1403626359985
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403626361256
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1403626361277
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403626362489
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403626377636
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403626384389
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403626384477
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403626434727
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403626446830
activated,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1403626447033
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403626515803
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1403626515846
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403626529819
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1403626542033
opened,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1403626542319
activated,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1403626542409
activated,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1403626556785
closed,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1403626556791
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1403626560776
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403626564147
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403626565107
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403626565448
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403626576460
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403626581454
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403626744461
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403626788099
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1403626805859
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403626812078
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1403626812116
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403626815035
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403626896709
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403626900413
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403626902030
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1403626902040
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403626902310
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403626903272
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403626903283
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403626953804
activated,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1403626954083
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403626967433
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403626990380
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403626999314
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403627006926
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403627008988
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403627060101
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403627064203
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403627066715
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403627084059
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403627110320
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1403627110719
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403627112358
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403627148644
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403627157421
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403627176849
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1403627195426
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403627200104
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403627200403
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1403627211076
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403627221572
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403627225148
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403627227124
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403627264350
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403627270015
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403627492816
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403627502303
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403627503771
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403627540767
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1403627553956
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403627557523
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403627571604
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403627599795
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403627741566
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403627747770
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403627751111
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403627777740
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403627790445
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1403627803973
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403627806912
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1403627820274
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403627826588
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403627829687
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403627851923
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403627863762
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403627865230
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1403627882669
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403627884786
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403627915145
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403627920600
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403627921651
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403627930195
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403627937122
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403627939753
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403627943378
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403628031773
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403628047759
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403628062008
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403628075368
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403628081383
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403628111196
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403628112851
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403628185836
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1403628188660
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403628194335
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1403628197218
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403628343415
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403628347050
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403628365335
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403628368185
