what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"fr_FR",1403518843066
processors,sysinfo,,,"8",1403518843066
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1403518843066
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1403518843066
java.specification.name,sysinfo,,,"Java Platform API Specification",1403518843066
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1403518843066
java.specification.version,sysinfo,,,"1.6",1403518843066
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1403518843066
java.version,sysinfo,,,"1.6.0_25",1403518843066
java.vm.info,sysinfo,,,"mixed mode",1403518843066
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1403518843066
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1403518843066
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1403518843066
java.vm.specification.version,sysinfo,,,"1.0",1403518843066
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1403518843066
java.vm.version,sysinfo,,,"20.0-b11",1403518843066
started,bundle,org.jboss.tools.modeshape.rest,1.1.0.v20111104-1207-H172-Final,"org.jboss.tools.modeshape.rest",1403518848478
started,bundle,org.jboss.tools.struts,3.2.0.v20111025-2151-H198-Final,"org.jboss.tools.struts",1403518851450
started,bundle,org.jboss.tools.jst.web.tiles,3.1.0.v20111025-0510-H215-Final,"org.jboss.tools.jst.web.tiles",1403518851455
started,bundle,org.jboss.tools.hibernate.xml,3.4.0.v20111025-0625-H210-Final,"org.jboss.tools.hibernate.xml",1403518851458
started,bundle,org.jboss.tools.seam.xml,3.2.0.v20111027-1359-H303-Final,"org.jboss.tools.seam.xml",1403518851460
started,bundle,org.jboss.tools.seam.pages.xml,3.1.0.v20111027-1359-H303-Final,"org.jboss.tools.seam.pages.xml",1403518851462
started,bundle,org.jboss.tools.cdi.xml,1.0.0.v20111025-1225-H178-Final,"org.jboss.tools.cdi.xml",1403518851465
started,bundle,org.jboss.tools.smooks.ui,1.2.0.v20111025-0650-H200-Final,"org.jboss.tools.smooks.ui",1403518851470
activated,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1403518856448
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1403518856698
started,bundle,org.eclipse.jst.jsf.facelet.core,1.2.0.v201305011549,"org.eclipse.jst.jsf.facelet.core",1403518857529
started,bundle,org.eclipse.jst.jsf.common.runtime,1.3.0.v201305011549,"org.eclipse.jst.jsf.common.runtime",1403518857534
opened,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1403518869813
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1403518869845
executed,command,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.debug",1403518872078
started,bundle,org.jboss.ide.eclipse.as.rse.core,0.9.0.v20111110-1751-H262-Final,"org.jboss.ide.eclipse.as.rse.core",1403518872115
started,bundle,org.jboss.ide.eclipse.freemarker,1.1.0.v20111025-0320-H192-Final,"org.jboss.ide.eclipse.freemarker",1403518879651
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1403518879703
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403518880398
activated,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1403518902334
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1403518903897
opened,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1403518903899
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1403518903917
