what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403597722305
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403597723362
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1403597723675
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403597723811
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403597752003
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403597752206
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403597752220
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1403597752337
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403597754956
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1403597755093
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403597755227
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403597757401
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1403597757491
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403597757696
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1403597766828
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403597767906
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403597778229
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403597779900
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1403597780015
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403597794002
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403597811411
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403597815442
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403597819943
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403597826769
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403597829884
