what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401805684309
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401805723453
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401805723470
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401805726488
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1401805726572
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401805728740
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401805789023
activated,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1401805789253
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1401805791247
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1401805794644
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1401805809305
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1401805813704
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1401805826466
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1401805826512
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401805834425
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401805885640
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1401805899794
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401805907041
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1401806847101
