what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403532388605
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403532390497
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1403532408831
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403532413282
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403532430097
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403532430121
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403532437864
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403532504838
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403532536020
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403532692104
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403532699069
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403532716685
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403532716896
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403532717891
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403532810069
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403532940936
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1403533185047
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403533187602
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403533199877
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403533199919
activated,editor,org.eclipse.wst.xml.ui,1.1.105.v201106142156,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1403533213937
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1403533215603
started,bundle,org.jboss.tools.common.gef,3.1.0.v20111025-0439-H174-Final,"org.jboss.tools.common.gef",1403533218087
started,bundle,org.jboss.tools.jst.web.tiles.ui,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.web.tiles.ui",1403533218094
started,bundle,org.jboss.tools.seam.ui.pages,3.2.1.v20111027-1359-H303-Final,"org.jboss.tools.seam.ui.pages",1403533218098
started,bundle,org.jboss.tools.struts.validator.ui,3.1.0.v20111025-2151-H198-Final,"org.jboss.tools.struts.validator.ui",1403533218110
opened,editor,org.jboss.tools.common.model.ui,3.2.1.v20111025-0439-H174-Final,"org.jboss.tools.common.model.ui.editor.EditorPartWrapper",1403533218662
activated,editor,org.jboss.tools.common.model.ui,3.2.1.v20111025-0439-H174-Final,"org.jboss.tools.common.model.ui.editor.EditorPartWrapper",1403533218763
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403533235766
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403533309463
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1403533309521
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403533330145
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403533337477
activated,editor,org.jboss.tools.common.model.ui,3.2.1.v20111025-0439-H174-Final,"org.jboss.tools.common.model.ui.editor.EditorPartWrapper",1403533337549
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403533340619
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403533361400
