what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.1.2.v20140211-0100,"org.eclipse.mylyn.commons.notifications.feed",1402383449289
started,bundle,org.eclipse.mylyn.commons.ui,3.9.2.v20140211-0100,"org.eclipse.mylyn.commons.ui",1402383449289
started,bundle,org.eclipse.mylyn.commons.workbench,3.9.2.v20140211-0100,"org.eclipse.mylyn.commons.workbench",1402383449290
started,bundle,org.eclipse.mylyn.context.core,3.9.2.v20140211-0100,"org.eclipse.mylyn.context.core",1402383449290
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.9.2.v20140211-0100,"org.eclipse.mylyn.context.tasks.ui",1402383449290
started,bundle,org.eclipse.mylyn.monitor.ui,3.9.2.v20140211-0100,"org.eclipse.mylyn.monitor.ui",1402383449291
started,bundle,org.eclipse.mylyn.tasks.ui,3.9.2.v20140211-0100,"org.eclipse.mylyn.tasks.ui",1402383449291
started,bundle,org.eclipse.mylyn.team.ui,3.9.2.v20140211-0100,"org.eclipse.mylyn.team.ui",1402383449291
started,bundle,org.eclipse.rse.connectorservice.local,2.1.400.201205062159,"org.eclipse.rse.connectorservice.local",1402383449292
started,bundle,org.eclipse.rse.core,3.3.100.201307171557,"org.eclipse.rse.core",1402383449292
started,bundle,org.eclipse.rse.files.ui,3.2.200.201307171555,"org.eclipse.rse.files.ui",1402383449292
started,bundle,org.eclipse.rse.services,3.2.200.201211090626,"org.eclipse.rse.services",1402383449293
started,bundle,org.eclipse.rse.services.local,2.1.500.201305211438,"org.eclipse.rse.services.local",1402383449293
started,bundle,org.eclipse.rse.subsystems.files.core,3.3.1.201306281330,"org.eclipse.rse.subsystems.files.core",1402383449293
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.300.201205062159,"org.eclipse.rse.subsystems.files.local",1402383449294
started,bundle,org.eclipse.rse.subsystems.shells.core,3.1.300.201205141739,"org.eclipse.rse.subsystems.shells.core",1402383449294
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.400.201205062159,"org.eclipse.rse.subsystems.shells.local",1402383449294
started,bundle,org.eclipse.rse.ui,3.3.100.201306211706,"org.eclipse.rse.ui",1402383449295
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.300.v201111030424,"org.eclipse.wst.common.project.facet.core",1402383449295
started,bundle,org.eclipse.xsd,2.9.1.v20140203-1126,"org.eclipse.xsd",1402383449295
started,bundle,org.tigris.subversion.subclipse.core,1.10.5,"org.tigris.subversion.subclipse.core",1402383449295
started,bundle,org.tigris.subversion.subclipse.ui,1.10.5,"org.tigris.subversion.subclipse.ui",1402383449296
os,sysinfo,,,"win32",1402383449298
arch,sysinfo,,,"x86_64",1402383449298
ws,sysinfo,,,"win32",1402383449298
locale,sysinfo,,,"fr_FR",1402383449298
processors,sysinfo,,,"8",1402383449298
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1402383449298
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1402383449298
java.specification.name,sysinfo,,,"Java Platform API Specification",1402383449298
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1402383449298
java.specification.version,sysinfo,,,"1.6",1402383449298
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1402383449298
java.version,sysinfo,,,"1.6.0_25",1402383449298
java.vm.info,sysinfo,,,"mixed mode",1402383449298
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1402383449298
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1402383449298
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1402383449298
java.vm.specification.version,sysinfo,,,"1.0",1402383449298
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1402383449298
java.vm.version,sysinfo,,,"20.0-b11",1402383449298
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1402383450310
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402383450773
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1402383453029
started,bundle,org.jboss.tools.modeshape.rest,1.1.0.v20111104-1207-H172-Final,"org.jboss.tools.modeshape.rest",1402383454678
